ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TICKET-001,High,Closed,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP,2024-11-19,2024-11-21,IT_Support
TICKET-002,Medium,Open,Software,Office 365 licensing issue,User cannot activate Outlook after update,2024-11-20,,Helpdesk
TICKET-003,Low,Closed,Network,VPN slow connectivity,Experiencing slow connection when using VPN,2024-11-18,2024-11-20,Network_Ops
TICKET-004,Critical,Open,Hardware,Server rack 4 overheating alarm,Received critical temperature alarm from data centre,2024-11-24,,System_Admin
TICKET-005,Medium,Open,Access,New employee access request,New hire needs access to ERP system,2024-11-24,,Helpdesk
TICKET-006,Low,In Progress,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-26,,IT_Support
TICKET-007,Critical,Open,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-21,,IT_Support
TICKET-008,Critical,In Progress,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-12-02,,IT_Support
TICKET-009,High,Open,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-11-24,,Helpdesk
TICKET-010,Low,In Progress,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-30,,Network_Ops
TICKET-011,High,Open,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-21,,IT_Support
TICKET-012,Low,Resolved,Security,Firewall rule modification request,Request to open port 443 inbound to new web server IP.,2024-11-25,2024-11-26,Network_Ops
TICKET-013,High,In Progress,Hardware,Faulty webcam for meetings,Integrated camera not recognized by Windows or Teams.,2024-11-18,,IT_Support
TICKET-014,High,Resolved,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-28,2024-12-01,Network_Ops
TICKET-015,Low,Resolved,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-18,2024-11-23,System_Admin
TICKET-016,Critical,In Progress,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-11-19,,System_Admin
TICKET-017,Low,Open,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-12-01,,Network_Ops
TICKET-018,Medium,Resolved,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-11-25,2024-11-26,Helpdesk
TICKET-019,High,Resolved,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-27,2024-11-29,Network_Ops
TICKET-020,Critical,Closed,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-22,2024-11-23,IT_Support
TICKET-021,Critical,In Progress,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-28,,Network_Ops
TICKET-022,Critical,In Progress,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-11-15,,System_Admin
TICKET-023,Critical,Open,Server,Server rack 4 overheating alarm,Received critical temperature alarm from data centre. Requires immediate remote investigation.,2024-11-22,,Network_Ops
TICKET-024,High,Resolved,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-24,2024-11-28,Security
TICKET-025,Critical,Resolved,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-12-03,2024-12-04,Helpdesk
TICKET-026,Critical,In Progress,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-24,,System_Admin
TICKET-027,High,Resolved,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-21,2024-11-22,IT_Support
TICKET-028,Medium,Open,Security,Firewall rule modification request,Request to open port 443 inbound to new web server IP.,2024-11-19,,Security
TICKET-029,High,Open,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-12-03,,System_Admin
TICKET-030,Medium,In Progress,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-21,,Helpdesk
TICKET-031,Medium,Open,Security,Phishing reported - Account lockout,User reported suspicious email and immediately locked account for safety.,2024-11-26,,IT_Support
TICKET-032,Medium,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-26,2024-11-28,System_Admin
TICKET-033,Critical,Resolved,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-19,2024-11-23,IT_Support
TICKET-034,High,Open,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-12-04,,IT_Support
TICKET-035,Medium,Open,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-12-02,,Network_Ops
TICKET-036,Medium,In Progress,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-19,,Network_Ops
TICKET-037,Low,In Progress,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-20,,Network_Ops
TICKET-038,Low,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-17,,Helpdesk
TICKET-039,Critical,Open,Hardware,Faulty webcam for meetings,Integrated camera not recognized by Windows or Teams.,2024-12-02,,Helpdesk
TICKET-040,Medium,Open,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-12-01,,IT_Support
